ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
41042,68,retired,married,primary,no,2301,no,no,cellular,14,aug,90,3,120,1,failure,no
5137,31,technician,married,secondary,no,589,yes,yes,unknown,21,may,151,1,-1,0,unknown,no
6807,33,blue-collar,married,secondary,no,580,yes,no,unknown,28,may,36,1,-1,0,unknown,no
42243,32,management,married,tertiary,no,1331,no,no,cellular,12,nov,126,1,92,5,failure,yes
11760,47,self-employed,married,tertiary,no,1917,no,no,unknown,20,jun,39,2,-1,0,unknown,no
29317,27,technician,single,unknown,no,0,yes,no,cellular,2,feb,168,1,-1,0,unknown,no
18123,52,management,divorced,tertiary,no,147,no,no,cellular,30,jul,90,4,-1,0,unknown,no
39672,27,student,single,secondary,no,274,no,no,cellular,27,may,283,1,-1,0,unknown,no
11517,53,admin.,married,secondary,no,2955,no,no,unknown,19,jun,605,1,-1,0,unknown,no
35993,26,admin.,married,secondary,no,354,yes,no,cellular,8,may,282,5,347,5,other,no
25061,45,blue-collar,married,secondary,no,1678,yes,no,unknown,18,nov,187,1,154,1,failure,no
6216,58,management,divorced,tertiary,no,-71,no,no,unknown,27,may,114,1,-1,0,unknown,no
27503,38,admin.,married,secondary,no,1973,no,no,cellular,21,nov,155,2,-1,0,unknown,no
39213,33,blue-collar,married,secondary,no,139,yes,yes,cellular,18,may,732,2,291,5,failure,yes
22206,57,self-employed,married,secondary,no,2109,no,no,cellular,21,aug,107,6,-1,0,unknown,no
32833,52,admin.,divorced,secondary,no,340,yes,no,cellular,17,apr,463,1,344,1,failure,no
25258,38,admin.,married,tertiary,no,605,no,no,cellular,18,nov,147,2,-1,0,unknown,no
28771,32,blue-collar,single,secondary,no,604,no,no,cellular,30,jan,410,2,196,2,other,no
32351,54,blue-collar,married,primary,no,3170,yes,no,telephone,16,apr,140,2,324,4,failure,no
35015,36,technician,married,secondary,no,-78,yes,no,cellular,6,may,346,1,-1,0,unknown,no
26088,40,admin.,married,unknown,no,9110,yes,no,telephone,19,nov,89,3,-1,0,unknown,no
38538,59,self-employed,married,primary,no,671,yes,no,cellular,15,may,57,2,332,3,failure,no
27845,39,unknown,single,unknown,no,0,no,no,telephone,28,jan,28,1,-1,0,unknown,no
11026,38,admin.,divorced,secondary,no,156,yes,no,unknown,17,jun,544,3,-1,0,unknown,no
11815,38,management,married,tertiary,no,0,yes,no,unknown,20,jun,211,2,-1,0,unknown,no
41699,24,management,single,tertiary,no,0,no,no,cellular,6,oct,526,1,-1,0,unknown,no
20231,31,technician,single,tertiary,no,3194,no,no,cellular,11,aug,140,2,-1,0,unknown,no
26478,47,management,married,tertiary,no,186,no,no,cellular,20,nov,70,2,-1,0,unknown,no
38231,33,self-employed,married,secondary,no,217,yes,yes,cellular,15,may,132,5,304,5,failure,no
9676,52,housemaid,married,primary,no,0,no,no,unknown,6,jun,235,3,-1,0,unknown,no
27605,37,blue-collar,married,secondary,no,1407,yes,no,cellular,21,nov,14,7,-1,0,unknown,no
24784,56,self-employed,divorced,secondary,no,0,no,no,cellular,18,nov,348,1,-1,0,unknown,no
22275,39,management,married,tertiary,no,1363,no,no,cellular,21,aug,294,3,-1,0,unknown,no
22692,46,admin.,married,secondary,no,1083,no,no,cellular,25,aug,67,9,-1,0,unknown,no
8976,39,blue-collar,single,primary,no,-491,no,yes,unknown,5,jun,179,1,-1,0,unknown,no
35314,54,management,divorced,tertiary,no,0,yes,no,cellular,7,may,199,1,297,3,failure,no
43246,33,management,single,tertiary,no,224,no,no,cellular,8,mar,241,2,-1,0,unknown,yes
2112,34,blue-collar,single,secondary,no,381,yes,no,unknown,12,may,102,1,-1,0,unknown,no
32388,42,blue-collar,married,primary,no,560,yes,yes,cellular,16,apr,122,4,149,2,failure,no
8210,40,admin.,divorced,secondary,no,2550,yes,no,unknown,2,jun,424,2,-1,0,unknown,no
33329,35,blue-collar,married,secondary,no,94,yes,no,cellular,20,apr,75,1,-1,0,unknown,no
3760,50,entrepreneur,married,secondary,no,556,yes,no,unknown,16,may,130,2,-1,0,unknown,no
8211,38,technician,single,secondary,no,2990,yes,no,unknown,2,jun,612,2,-1,0,unknown,no
1074,39,blue-collar,single,secondary,no,29,yes,no,unknown,7,may,214,2,-1,0,unknown,no
26792,30,entrepreneur,married,secondary,no,392,yes,no,cellular,20,nov,117,3,-1,0,unknown,no
36342,30,admin.,married,secondary,no,692,yes,no,cellular,11,may,290,1,-1,0,unknown,no
1102,38,blue-collar,married,primary,no,1807,no,no,unknown,7,may,348,3,-1,0,unknown,no
13349,32,services,married,secondary,no,61,yes,no,cellular,8,jul,529,5,-1,0,unknown,no
26906,41,technician,married,secondary,no,190,no,no,cellular,21,nov,12,7,-1,0,unknown,no
40762,32,self-employed,single,tertiary,no,1815,no,no,telephone,10,aug,235,1,102,2,failure,yes
32792,61,retired,divorced,primary,no,876,no,no,cellular,17,apr,40,9,-1,0,unknown,no
12455,35,services,married,secondary,no,871,yes,no,unknown,1,jul,108,1,-1,0,unknown,no
7086,41,blue-collar,married,secondary,no,1020,yes,no,unknown,29,may,276,1,-1,0,unknown,no
34789,31,services,single,secondary,no,864,yes,no,cellular,6,may,100,1,-1,0,unknown,no
9734,53,unknown,married,secondary,no,16,no,no,unknown,9,jun,100,1,-1,0,unknown,no
37648,36,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,341,1,330,2,other,no
2142,32,entrepreneur,married,tertiary,no,108,yes,yes,unknown,12,may,112,1,-1,0,unknown,no
12353,55,entrepreneur,married,tertiary,no,625,no,no,unknown,26,jun,48,4,-1,0,unknown,no
21427,30,management,single,tertiary,no,0,no,no,cellular,18,aug,124,3,-1,0,unknown,no
6671,30,technician,single,tertiary,no,0,yes,no,unknown,28,may,58,1,-1,0,unknown,no
21933,41,technician,married,secondary,no,-4,no,no,cellular,20,aug,171,6,-1,0,unknown,no
17582,45,blue-collar,married,primary,no,193,yes,yes,cellular,29,jul,116,2,-1,0,unknown,no
18589,39,blue-collar,married,secondary,no,98,no,no,cellular,31,jul,119,1,-1,0,unknown,no
1135,44,blue-collar,married,secondary,no,1,yes,no,unknown,7,may,281,2,-1,0,unknown,no
35334,37,blue-collar,married,primary,no,223,yes,no,cellular,7,may,569,1,297,3,failure,no
14587,32,management,single,tertiary,no,752,yes,no,cellular,15,jul,256,5,-1,0,unknown,no
7247,48,blue-collar,married,unknown,no,100,yes,no,unknown,29,may,206,1,-1,0,unknown,no
14366,34,management,married,tertiary,no,-123,yes,no,cellular,14,jul,64,3,-1,0,unknown,no
10625,36,housemaid,married,tertiary,yes,-1941,yes,no,unknown,16,jun,505,1,-1,0,unknown,no
30068,49,self-employed,divorced,tertiary,no,0,no,no,cellular,4,feb,279,3,-1,0,unknown,no
18979,47,entrepreneur,married,secondary,no,318,no,no,cellular,4,aug,299,2,-1,0,unknown,no
36224,43,services,married,secondary,no,-416,yes,yes,cellular,11,may,114,1,301,3,failure,no
32546,36,blue-collar,single,primary,no,295,yes,no,cellular,17,apr,287,1,-1,0,unknown,no
7436,56,blue-collar,married,primary,no,1798,yes,no,unknown,29,may,228,3,-1,0,unknown,no
42098,20,student,single,primary,no,0,no,no,cellular,2,nov,69,4,182,4,failure,no
26053,55,entrepreneur,divorced,tertiary,no,372,yes,no,cellular,19,nov,225,5,-1,0,unknown,no
10499,38,services,married,tertiary,no,1018,no,no,unknown,16,jun,325,3,-1,0,unknown,no
24803,56,technician,married,secondary,no,589,yes,no,cellular,18,nov,208,1,26,3,success,no
12907,50,technician,married,unknown,no,680,no,no,cellular,7,jul,457,5,-1,0,unknown,no
22818,54,blue-collar,married,secondary,no,2255,no,no,cellular,25,aug,304,6,-1,0,unknown,no
25385,46,management,divorced,tertiary,no,6269,yes,no,telephone,18,nov,249,3,112,2,failure,no
37080,33,blue-collar,married,secondary,no,1905,yes,no,cellular,13,may,39,1,301,2,success,no
44622,36,management,single,tertiary,no,671,yes,no,cellular,1,sep,161,1,457,2,failure,no
7965,39,blue-collar,married,secondary,no,280,yes,no,unknown,2,jun,147,3,-1,0,unknown,no
42960,27,management,single,tertiary,no,390,no,no,cellular,9,feb,120,2,104,2,failure,yes
13422,57,blue-collar,married,secondary,no,0,no,yes,cellular,9,jul,45,1,-1,0,unknown,no
14517,59,housemaid,married,primary,no,37,no,yes,cellular,15,jul,335,2,-1,0,unknown,no
31646,35,technician,married,secondary,no,0,yes,no,cellular,6,apr,139,1,-1,0,unknown,no
24264,39,blue-collar,married,primary,no,108,no,no,cellular,17,nov,265,1,-1,0,unknown,no
5861,32,blue-collar,married,primary,no,494,yes,no,unknown,26,may,252,2,-1,0,unknown,no
15907,44,management,married,primary,no,4758,yes,no,cellular,22,jul,712,6,-1,0,unknown,yes
14659,43,entrepreneur,married,tertiary,no,1,yes,yes,cellular,15,jul,61,2,-1,0,unknown,no
4550,36,technician,divorced,secondary,no,566,yes,no,unknown,20,may,129,2,-1,0,unknown,no
7471,32,management,single,tertiary,no,406,no,no,unknown,29,may,35,24,-1,0,unknown,no
23425,47,management,married,tertiary,no,-315,yes,yes,cellular,27,aug,112,9,-1,0,unknown,no
3189,50,management,married,tertiary,no,-516,yes,no,unknown,15,may,226,2,-1,0,unknown,no
3825,36,blue-collar,married,secondary,no,63,yes,no,unknown,16,may,322,2,-1,0,unknown,no
28285,32,blue-collar,married,primary,no,634,no,no,cellular,29,jan,696,1,-1,0,unknown,yes
23111,55,self-employed,married,secondary,yes,0,no,no,cellular,26,aug,172,5,-1,0,unknown,no
16143,43,management,married,tertiary,no,409,no,no,cellular,22,jul,100,7,-1,0,unknown,no
5659,47,services,married,secondary,no,4063,yes,yes,unknown,26,may,207,1,-1,0,unknown,no
432,42,management,married,tertiary,no,1680,yes,no,unknown,6,may,765,1,-1,0,unknown,no
34601,32,technician,divorced,tertiary,no,75,no,no,cellular,5,may,104,3,256,9,failure,no
18354,35,technician,married,tertiary,no,108,yes,no,cellular,31,jul,65,3,-1,0,unknown,no
43371,30,self-employed,single,tertiary,no,916,no,no,cellular,29,mar,92,2,90,2,success,yes
4158,20,blue-collar,married,primary,no,-172,yes,yes,unknown,19,may,238,3,-1,0,unknown,no
24489,56,management,divorced,tertiary,no,2096,no,no,cellular,17,nov,209,2,-1,0,unknown,no
12640,29,admin.,single,secondary,no,2802,no,yes,unknown,4,jul,840,2,-1,0,unknown,no
31223,61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,2,-1,0,unknown,yes
31033,69,retired,married,primary,no,2346,no,no,cellular,11,feb,354,2,-1,0,unknown,yes
32881,33,admin.,single,secondary,no,91,yes,no,cellular,17,apr,400,2,-1,0,unknown,no
42323,24,blue-collar,married,secondary,no,272,no,no,cellular,16,nov,105,2,94,2,success,yes
9136,36,unemployed,single,primary,no,1201,yes,no,unknown,5,jun,57,1,-1,0,unknown,no
32384,26,technician,married,unknown,no,-277,yes,no,cellular,16,apr,1018,2,-1,0,unknown,no
24372,53,admin.,married,secondary,no,1661,yes,yes,cellular,17,nov,85,1,-1,0,unknown,no
15792,25,admin.,single,secondary,no,105,no,yes,cellular,21,jul,392,1,-1,0,unknown,no
29101,36,admin.,married,secondary,no,96,no,no,cellular,2,feb,302,1,-1,0,unknown,yes
23977,47,blue-collar,married,secondary,no,947,no,yes,cellular,29,aug,24,17,-1,0,unknown,no
41839,40,unemployed,single,tertiary,no,79,no,no,cellular,15,oct,570,1,135,1,failure,yes
21956,39,housemaid,married,secondary,no,-146,yes,yes,cellular,20,aug,239,2,-1,0,unknown,no
20185,46,self-employed,married,tertiary,no,2421,no,no,cellular,11,aug,170,4,-1,0,unknown,no
25638,53,retired,married,tertiary,no,1452,no,yes,cellular,19,nov,442,2,113,3,failure,no
15485,47,technician,divorced,secondary,no,-767,no,yes,cellular,18,jul,329,3,-1,0,unknown,no
38246,31,blue-collar,single,secondary,no,178,yes,no,cellular,15,may,415,1,360,5,failure,no
42649,40,management,married,tertiary,no,5142,no,no,cellular,13,jan,147,2,224,1,failure,no
11992,41,management,married,tertiary,no,15,no,no,unknown,20,jun,13,5,-1,0,unknown,no
9667,47,housemaid,married,primary,no,389,no,no,unknown,6,jun,145,2,-1,0,unknown,no
2984,45,entrepreneur,single,tertiary,no,1410,yes,no,unknown,14,may,44,8,-1,0,unknown,no
10844,44,housemaid,married,tertiary,no,460,no,no,unknown,17,jun,491,1,-1,0,unknown,no
43923,62,retired,married,primary,no,1742,no,no,cellular,14,jun,167,2,98,6,other,yes
37334,50,management,married,primary,no,117,yes,no,telephone,13,may,216,4,-1,0,unknown,no
5739,46,blue-collar,married,primary,no,537,no,no,unknown,26,may,222,5,-1,0,unknown,no
16152,35,management,married,tertiary,no,-196,yes,no,cellular,22,jul,216,2,-1,0,unknown,no
2219,41,blue-collar,married,primary,no,1052,yes,yes,unknown,12,may,335,1,-1,0,unknown,no
7126,43,technician,married,secondary,no,2041,yes,yes,unknown,29,may,162,5,-1,0,unknown,no
22097,33,technician,single,tertiary,no,1805,no,no,cellular,21,aug,211,4,-1,0,unknown,no
9932,41,unemployed,married,tertiary,no,1666,no,no,unknown,9,jun,291,3,-1,0,unknown,no
33371,40,admin.,single,tertiary,no,283,yes,no,cellular,20,apr,222,1,153,4,failure,no
8697,30,technician,single,secondary,no,3107,yes,no,unknown,3,jun,1516,2,-1,0,unknown,no
20625,31,management,single,tertiary,no,1858,no,no,cellular,12,aug,453,3,-1,0,unknown,yes
23480,39,technician,married,tertiary,no,-204,yes,no,cellular,28,aug,144,4,-1,0,unknown,no
40533,34,admin.,married,secondary,no,1551,yes,yes,cellular,8,jul,188,2,82,4,other,no
22669,37,self-employed,married,secondary,no,119,no,no,cellular,25,aug,68,4,-1,0,unknown,no
28656,29,management,married,tertiary,no,-346,no,no,cellular,29,jan,290,2,-1,0,unknown,no
21478,37,management,divorced,tertiary,no,481,yes,no,cellular,19,aug,97,6,-1,0,unknown,no
39502,37,management,married,tertiary,no,900,yes,no,cellular,25,may,116,1,18,3,failure,no
11513,50,entrepreneur,married,secondary,no,1857,no,yes,unknown,19,jun,26,2,-1,0,unknown,no
9432,32,self-employed,married,tertiary,no,189,yes,no,unknown,6,jun,106,2,-1,0,unknown,no
35945,39,services,married,secondary,no,-762,yes,yes,cellular,8,may,40,6,343,2,failure,no
32911,43,management,married,tertiary,no,175,yes,no,cellular,17,apr,129,4,337,1,other,no
4694,48,blue-collar,married,secondary,no,5058,no,no,unknown,20,may,169,4,-1,0,unknown,no
14836,26,self-employed,single,secondary,no,166,yes,no,cellular,16,jul,83,2,-1,0,unknown,no
34488,29,admin.,single,secondary,no,0,yes,no,cellular,5,may,187,1,365,1,other,no
10632,37,services,married,secondary,no,1092,no,no,unknown,16,jun,266,1,-1,0,unknown,no
40860,25,technician,single,secondary,no,886,no,no,cellular,12,aug,121,1,-1,0,unknown,no
40931,26,management,single,tertiary,no,1643,no,no,cellular,12,aug,243,1,-1,0,unknown,no
8358,47,services,married,secondary,no,344,yes,no,unknown,3,jun,87,1,-1,0,unknown,no
41299,39,technician,divorced,secondary,no,385,no,no,cellular,26,aug,143,1,93,1,failure,no
37009,43,blue-collar,married,secondary,no,3,yes,no,telephone,13,may,26,1,174,2,failure,no
40899,36,management,single,tertiary,no,7252,no,no,cellular,12,aug,153,1,-1,0,unknown,no
10119,54,housemaid,married,unknown,no,4789,no,no,unknown,11,jun,83,1,-1,0,unknown,no
1442,22,technician,single,secondary,no,54,yes,yes,unknown,8,may,626,6,-1,0,unknown,no
30602,32,student,single,unknown,no,5969,no,no,cellular,6,feb,12,7,-1,0,unknown,no
40641,43,management,married,tertiary,no,1791,no,no,cellular,5,aug,254,1,-1,0,unknown,yes
30176,37,self-employed,married,secondary,no,126,no,yes,cellular,5,feb,313,7,-1,0,unknown,no
24873,36,management,single,tertiary,no,0,no,yes,cellular,18,nov,300,1,96,4,failure,no
15581,32,technician,single,secondary,no,648,no,yes,cellular,21,jul,166,1,-1,0,unknown,no
16495,42,blue-collar,married,unknown,no,149,yes,no,telephone,23,jul,329,3,-1,0,unknown,no
6790,31,technician,single,primary,no,449,yes,no,unknown,28,may,174,1,-1,0,unknown,no
15730,32,technician,married,secondary,no,-796,yes,yes,cellular,21,jul,80,3,-1,0,unknown,no
18336,44,technician,divorced,primary,no,538,no,no,cellular,31,jul,196,2,-1,0,unknown,no
10468,31,blue-collar,married,primary,no,0,no,no,unknown,16,jun,10,5,-1,0,unknown,no
43176,37,management,married,tertiary,no,1113,no,no,cellular,2,mar,229,1,182,1,success,yes
30955,36,unemployed,single,secondary,no,115,no,no,cellular,9,feb,71,2,-1,0,unknown,no
41762,55,admin.,married,secondary,no,9329,no,no,cellular,13,oct,135,1,113,2,failure,no
33333,20,student,single,unknown,no,330,no,no,cellular,20,apr,159,2,-1,0,unknown,no
23896,41,technician,married,secondary,no,0,no,no,cellular,29,aug,141,2,-1,0,unknown,no
32775,36,management,married,tertiary,no,-26,no,no,cellular,17,apr,214,2,-1,0,unknown,no
40607,37,admin.,single,secondary,no,115,no,no,cellular,4,aug,236,1,92,4,failure,no
31057,43,management,divorced,tertiary,no,36,no,no,cellular,13,feb,61,1,193,1,failure,no
8202,38,management,married,tertiary,no,-239,yes,no,unknown,2,jun,221,2,-1,0,unknown,no
27564,39,blue-collar,married,primary,no,477,yes,yes,cellular,21,nov,229,2,-1,0,unknown,no
36370,37,blue-collar,married,unknown,no,622,yes,no,cellular,11,may,175,1,-1,0,unknown,no
10545,41,technician,married,secondary,no,902,no,no,unknown,16,jun,35,6,-1,0,unknown,no
38342,24,blue-collar,single,secondary,no,3,yes,no,cellular,15,may,311,1,-1,0,unknown,no
55,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
1229,53,unemployed,married,secondary,no,582,yes,no,unknown,8,may,96,2,-1,0,unknown,no
2694,34,blue-collar,married,secondary,no,-100,yes,no,unknown,13,may,109,9,-1,0,unknown,no
7324,35,management,married,secondary,no,97,yes,no,unknown,29,may,135,4,-1,0,unknown,no
4282,26,blue-collar,divorced,secondary,no,0,yes,no,unknown,19,may,48,3,-1,0,unknown,no
15229,36,admin.,married,secondary,no,1314,yes,no,cellular,17,jul,330,3,-1,0,unknown,no
6445,27,admin.,married,secondary,no,186,yes,no,unknown,27,may,136,2,-1,0,unknown,no
34189,60,blue-collar,married,primary,no,1723,no,no,cellular,4,may,160,4,83,3,failure,no
22139,34,management,married,tertiary,no,468,no,no,cellular,21,aug,104,2,-1,0,unknown,no
34075,31,services,single,tertiary,no,620,no,no,cellular,30,apr,214,1,87,1,failure,no
33204,35,management,single,tertiary,no,1422,yes,yes,cellular,20,apr,28,7,272,3,other,no
13862,49,blue-collar,married,secondary,no,1127,yes,yes,cellular,10,jul,579,1,-1,0,unknown,no
34002,46,services,married,secondary,no,4,no,no,cellular,30,apr,268,1,261,5,other,yes
9603,48,services,divorced,primary,no,927,no,no,unknown,6,jun,201,6,-1,0,unknown,no
3672,45,blue-collar,divorced,primary,no,104,yes,no,unknown,16,may,206,4,-1,0,unknown,no
11913,39,self-employed,single,unknown,no,0,no,no,unknown,20,jun,13,11,-1,0,unknown,no
37737,50,management,married,secondary,no,125,yes,yes,cellular,14,may,8,5,-1,0,unknown,no
8103,35,management,single,tertiary,no,0,yes,no,unknown,2,jun,184,1,-1,0,unknown,no
37018,50,blue-collar,married,primary,no,-522,yes,no,cellular,13,may,863,3,-1,0,unknown,yes
18639,26,unemployed,single,secondary,no,1,no,no,telephone,31,jul,14,20,-1,0,unknown,no
33704,59,technician,married,secondary,no,10925,no,no,cellular,21,apr,100,1,-1,0,unknown,yes
29939,51,unemployed,single,tertiary,no,1594,no,no,telephone,4,feb,197,1,-1,0,unknown,no
14505,51,technician,married,tertiary,no,1537,no,yes,cellular,14,jul,400,3,-1,0,unknown,no
7169,40,admin.,married,secondary,no,451,yes,yes,unknown,29,may,257,1,-1,0,unknown,no
16240,27,services,married,secondary,no,2526,yes,no,cellular,23,jul,500,3,-1,0,unknown,no
19240,30,blue-collar,single,secondary,no,4749,no,no,cellular,6,aug,220,2,-1,0,unknown,no
27090,32,services,married,secondary,no,8043,yes,no,cellular,21,nov,202,1,-1,0,unknown,no
17190,46,services,married,secondary,no,53,no,yes,cellular,28,jul,31,3,-1,0,unknown,no
34443,25,services,single,secondary,no,443,yes,no,cellular,5,may,133,1,-1,0,unknown,no
10131,42,blue-collar,married,secondary,no,103,no,no,unknown,11,jun,95,2,-1,0,unknown,no
324,32,technician,divorced,tertiary,no,2558,no,no,unknown,5,may,148,2,-1,0,unknown,no
19134,37,technician,married,secondary,no,0,no,no,cellular,5,aug,409,1,-1,0,unknown,no
36668,42,blue-collar,married,secondary,no,3,yes,no,cellular,12,may,118,1,-1,0,unknown,no
9784,58,entrepreneur,married,tertiary,no,2920,yes,no,unknown,9,jun,136,1,-1,0,unknown,no
18779,41,technician,married,secondary,no,188,no,yes,telephone,31,jul,15,25,-1,0,unknown,no
41234,27,management,single,tertiary,no,377,no,no,cellular,21,aug,171,3,91,1,failure,no
25464,53,management,married,tertiary,no,57,no,yes,cellular,19,nov,84,3,-1,0,unknown,no
7778,44,blue-collar,married,secondary,no,3224,yes,no,unknown,30,may,306,1,-1,0,unknown,no
40578,34,housemaid,married,secondary,no,5,no,no,telephone,21,jul,305,7,-1,0,unknown,no
7900,29,services,single,secondary,no,193,yes,no,unknown,30,may,288,2,-1,0,unknown,no
38641,45,self-employed,single,secondary,no,2762,yes,no,cellular,15,may,18,6,-1,0,unknown,no
2020,31,management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
21497,47,technician,married,secondary,no,17206,yes,no,cellular,19,aug,125,4,-1,0,unknown,no
17929,53,management,divorced,tertiary,no,93,no,no,cellular,30,jul,219,2,-1,0,unknown,no
6186,33,blue-collar,married,primary,no,1217,yes,no,unknown,27,may,271,3,-1,0,unknown,no
721,54,technician,divorced,secondary,no,83,yes,no,unknown,6,may,190,3,-1,0,unknown,no
42426,61,management,married,tertiary,no,0,yes,yes,cellular,7,dec,85,2,-1,0,unknown,no
28884,44,management,single,tertiary,no,780,yes,no,cellular,30,jan,511,2,-1,0,unknown,no
29926,60,blue-collar,married,secondary,no,414,no,no,cellular,4,feb,147,1,-1,0,unknown,no
34621,34,services,divorced,secondary,no,-258,yes,no,cellular,5,may,259,1,-1,0,unknown,no
29857,48,blue-collar,married,secondary,no,320,yes,yes,cellular,4,feb,118,1,-1,0,unknown,no
26613,37,unemployed,married,secondary,no,2424,no,no,cellular,20,nov,633,2,156,2,other,no
6372,42,unemployed,married,secondary,no,-165,yes,yes,unknown,27,may,179,3,-1,0,unknown,no
3062,40,housemaid,divorced,primary,no,2610,yes,no,unknown,14,may,301,3,-1,0,unknown,no
172,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no
22829,56,management,married,tertiary,no,154,no,no,cellular,25,aug,454,6,-1,0,unknown,no
42555,43,services,married,tertiary,no,4216,no,no,cellular,24,dec,150,2,195,2,success,yes
34472,32,admin.,single,secondary,no,12,yes,no,cellular,5,may,242,1,365,2,failure,no
28449,27,technician,married,secondary,no,2735,yes,no,cellular,29,jan,205,1,-1,0,unknown,no
12588,44,blue-collar,married,secondary,no,978,no,no,unknown,3,jul,385,6,-1,0,unknown,no
3399,55,services,divorced,primary,no,2923,yes,no,unknown,15,may,104,2,-1,0,unknown,no
6360,29,self-employed,married,secondary,no,-76,yes,no,unknown,27,may,305,2,-1,0,unknown,no
8811,24,student,single,secondary,no,2726,yes,no,unknown,4,jun,283,1,-1,0,unknown,no
37611,52,management,married,secondary,no,2216,yes,yes,cellular,14,may,161,1,332,8,failure,no
35409,34,technician,divorced,secondary,no,592,yes,no,cellular,7,may,67,3,-1,0,unknown,no
